model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v1_ind_seed7005,50,1000.0,64,7005,0.4225,0.4381,0.4962,0.5805,0.6014,0.4381,0.7333,0.8619,30.6,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7009,50,1000.0,64,7009,0.4569,0.5072,0.4985,0.6088,0.6302,0.5072,0.7053,0.8744,30.2,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v1_ind_seed7001,50,1000.0,80,7001,0.544,0.5187,0.5258,0.6737,0.6595,0.5187,0.757,0.8832,31.2,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v1_ind_seed7005,50,1000.0,80,7005,0.4366,0.4524,0.5139,0.5923,0.6086,0.4524,0.7333,0.8619,30.9,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v1_ind_seed7009,50,1000.0,80,7009,0.4873,0.5024,0.5185,0.6387,0.6502,0.5024,0.7633,0.8696,31.2,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v1_ind_seed7001,50,1000.0,96,7001,0.5492,0.528,0.5218,0.6778,0.6661,0.528,0.7664,0.8692,31.7,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7005,50,1000.0,96,7005,0.4648,0.4857,0.529,0.6174,0.6343,0.4857,0.7429,0.8571,31.8,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7009,50,1000.0,96,7009,0.4822,0.5266,0.532,0.6437,0.6643,0.5266,0.7633,0.8841,31.4,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v1_ind_seed7001,75,1.0,16,7001,0.6632,0.6636,0.9409,0.7854,0.7885,0.6636,0.8925,0.9626,87.4,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7005,75,1.0,16,7005,0.6667,0.5952,0.9414,0.7882,0.7396,0.5952,0.8619,0.9333,85.2,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7009,75,1.0,16,7009,0.6548,0.6618,0.941,0.7736,0.7792,0.6618,0.8841,0.9372,86.9,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7001,75,1.0,32,7001,0.6839,0.6402,0.9409,0.7996,0.77,0.6402,0.8832,0.9626,87.5,Reach max iteration 50 | best_iter=31
qwen,sum,fb237_v1_ind_seed7005,75,1.0,32,7005,0.6526,0.5905,0.9414,0.7703,0.7417,0.5905,0.8857,0.9524,87.6,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7009,75,1.0,32,7009,0.6701,0.6667,0.941,0.7824,0.7805,0.6667,0.8841,0.942,87.6,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7001,75,1.0,48,7001,0.6943,0.6449,0.9409,0.8098,0.7746,0.6449,0.8785,0.9673,87.0,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v1_ind_seed7005,75,1.0,48,7005,0.6432,0.6048,0.9414,0.7753,0.7526,0.6048,0.881,0.9714,86.7,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v1_ind_seed7009,75,1.0,48,7009,0.6599,0.657,0.941,0.7812,0.7734,0.657,0.8696,0.942,87.2,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v1_ind_seed7001,75,1.0,64,7001,0.6528,0.6215,0.9409,0.784,0.7642,0.6215,0.9019,0.9579,88.5,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v1_ind_seed7005,75,1.0,64,7005,0.6667,0.6048,0.9414,0.7846,0.7533,0.6048,0.9,0.9667,88.8,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7009,75,1.0,64,7009,0.6599,0.6667,0.941,0.7863,0.7885,0.6667,0.9034,0.942,88.2,Reach max iteration 50 | best_iter=50
