model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v2_ind_seed7009,75,1.0,32,7009,0.5482,0.5711,0.9147,0.7082,0.7176,0.5711,0.8362,0.9397,192.7,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v2_ind_seed7001,75,1.0,48,7001,0.6247,0.597,0.8724,0.7555,0.7359,0.597,0.8657,0.9488,192.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7005,75,1.0,48,7005,0.6189,0.5777,0.9123,0.7636,0.7345,0.5777,0.8739,0.958,195.6,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v2_ind_seed7009,75,1.0,48,7009,0.5567,0.5754,0.8721,0.714,0.7122,0.5754,0.8276,0.9138,190.3,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7001,75,1.0,64,7001,0.6226,0.6354,0.8316,0.7602,0.7631,0.6354,0.8785,0.9574,189.0,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7005,75,1.0,64,7005,0.6316,0.5987,0.907,0.7672,0.7443,0.5987,0.8782,0.9496,195.4,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7009,75,1.0,64,7009,0.5739,0.6207,0.788,0.7205,0.7384,0.6207,0.8362,0.9203,189.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7001,75,1.0,80,7001,0.6204,0.5842,0.8318,0.754,0.7306,0.5842,0.8443,0.9574,192.1,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7005,75,1.0,80,7005,0.6147,0.5924,0.9102,0.7512,0.7397,0.5924,0.8655,0.9517,194.0,Reach max iteration 50 | best_iter=6
roberta,sum,fb237_v2_ind_seed7009,75,1.0,80,7009,0.5803,0.5948,0.8551,0.7259,0.7284,0.5948,0.8297,0.931,193.2,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,75,1.0,96,7001,0.6095,0.5949,0.8931,0.7501,0.7398,0.5949,0.8593,0.9552,196.2,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7005,75,1.0,96,7005,0.6484,0.6471,0.8496,0.7755,0.7758,0.6471,0.8845,0.9538,190.6,Reach max iteration 50 | best_iter=2
